epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,732.776,2.13605,2.2096,1.31525,0.64053,0.58436,0.538,0.24236,1.93387,1.48227,1.27271,0.000659091,0.000659091,0.000659091
2,1519.73,1.88162,1.26496,1.18069,0.7156,0.63498,0.66565,0.32969,1.759,1.17113,1.18492,0.00129951,0.00129951,0.00129951
3,2243.57,1.77706,1.08416,1.14118,0.74814,0.69257,0.70308,0.35318,1.71302,1.02476,1.14741,0.00191352,0.00191352,0.00191352
4,3166.63,1.73925,0.99653,1.12429,0.77979,0.7025,0.74299,0.39052,1.62768,0.95025,1.13774,0.0018812,0.0018812,0.0018812
5,4266.76,1.67858,0.94923,1.11311,0.74958,0.70075,0.72809,0.38595,1.62133,0.95667,1.1325,0.0018416,0.0018416,0.0018416
6,5634.12,1.63826,0.94075,1.09364,0.78297,0.71988,0.7632,0.41571,1.55824,0.90257,1.11502,0.001802,0.001802,0.001802
7,6554.3,1.60387,0.89825,1.08799,0.79025,0.7223,0.76684,0.41563,1.54868,0.90657,1.12076,0.0017624,0.0017624,0.0017624
8,7493.42,1.60651,0.89076,1.09138,0.78103,0.73151,0.76866,0.41768,1.56362,0.90523,1.10754,0.0017228,0.0017228,0.0017228
9,8433,1.62766,0.89497,1.08649,0.79446,0.69977,0.75725,0.41754,1.56368,0.88933,1.11573,0.0016832,0.0016832,0.0016832
10,9325.66,1.5837,0.86866,1.07478,0.80868,0.74877,0.7899,0.44257,1.51378,0.83256,1.09263,0.0016436,0.0016436,0.0016436
11,10227.3,1.5663,0.84684,1.07579,0.80504,0.75472,0.79482,0.44756,1.49285,0.84308,1.0928,0.001604,0.001604,0.001604
12,10991.7,1.56195,0.83192,1.06418,0.80996,0.75516,0.79529,0.43683,1.52559,0.83364,1.08927,0.0015644,0.0015644,0.0015644
13,11716.3,1.55076,0.83442,1.06128,0.80951,0.73088,0.7884,0.44274,1.50779,0.83922,1.09525,0.0015248,0.0015248,0.0015248
14,12453.7,1.5599,0.83926,1.06228,0.81609,0.75096,0.79987,0.449,1.51333,0.81715,1.09555,0.0014852,0.0014852,0.0014852
15,13244.8,1.55733,0.82569,1.06021,0.82869,0.74698,0.80417,0.45323,1.49054,0.81464,1.08324,0.0014456,0.0014456,0.0014456
16,13972.1,1.54488,0.81755,1.05188,0.81534,0.77356,0.812,0.45694,1.49881,0.81962,1.08894,0.001406,0.001406,0.001406
17,14633.3,1.55094,0.80313,1.0475,0.82987,0.75738,0.81506,0.46621,1.46577,0.80639,1.07214,0.0013664,0.0013664,0.0013664
18,15301.6,1.51597,0.80342,1.04851,0.82255,0.77677,0.81885,0.46588,1.48543,0.79263,1.08267,0.0013268,0.0013268,0.0013268
19,15924.9,1.52673,0.79722,1.04972,0.83191,0.77085,0.82005,0.4693,1.47973,0.79191,1.07703,0.0012872,0.0012872,0.0012872
20,16513.4,1.50201,0.78563,1.04035,0.83373,0.77274,0.82081,0.46771,1.47521,0.7778,1.07768,0.0012476,0.0012476,0.0012476
21,17105.6,1.49542,0.77652,1.04367,0.82996,0.77038,0.81809,0.46682,1.47852,0.78093,1.07135,0.001208,0.001208,0.001208
22,17821,1.50551,0.78245,1.04421,0.82294,0.76118,0.81364,0.4632,1.48732,0.78992,1.07892,0.0011684,0.0011684,0.0011684
23,18521.7,1.50259,0.77418,1.04018,0.83571,0.77796,0.82975,0.46703,1.48077,0.7685,1.07986,0.0011288,0.0011288,0.0011288
24,19214.1,1.51156,0.77825,1.04754,0.8362,0.77024,0.82785,0.47091,1.4696,0.77342,1.077,0.0010892,0.0010892,0.0010892
25,19809.3,1.49148,0.76265,1.03478,0.84296,0.78432,0.83581,0.47656,1.46488,0.75278,1.06983,0.0010496,0.0010496,0.0010496
26,20405.8,1.48801,0.74603,1.03226,0.83557,0.7781,0.83103,0.47941,1.44034,0.75835,1.05813,0.00101,0.00101,0.00101
27,20999.2,1.46354,0.74613,1.02911,0.84167,0.78832,0.83766,0.48529,1.4497,0.74684,1.06437,0.0009704,0.0009704,0.0009704
28,21605.6,1.49088,0.75461,1.0367,0.83833,0.77696,0.83166,0.48005,1.45522,0.76194,1.06459,0.0009308,0.0009308,0.0009308
29,22206.4,1.48511,0.74965,1.03138,0.84717,0.79338,0.84117,0.48485,1.44491,0.73923,1.05884,0.0008912,0.0008912,0.0008912
30,22822.7,1.48162,0.74747,1.03215,0.85091,0.773,0.83326,0.47759,1.4693,0.7427,1.07229,0.0008516,0.0008516,0.0008516
31,23523.6,1.46887,0.74404,1.04007,0.85115,0.78935,0.84271,0.48416,1.45564,0.73494,1.06735,0.000812,0.000812,0.000812
32,24232.9,1.44765,0.72924,1.03147,0.84272,0.79256,0.84384,0.48433,1.45919,0.7414,1.06545,0.0007724,0.0007724,0.0007724
33,24989.5,1.46489,0.73124,1.02847,0.86042,0.78682,0.8475,0.4919,1.43409,0.72038,1.06129,0.0007328,0.0007328,0.0007328
34,25702.3,1.46731,0.73642,1.03144,0.85289,0.79578,0.84747,0.49419,1.43053,0.72277,1.0586,0.0006932,0.0006932,0.0006932
35,26423.1,1.44894,0.72458,1.02516,0.85176,0.78251,0.83506,0.48424,1.44732,0.72912,1.06239,0.0006536,0.0006536,0.0006536
36,27039.6,1.44043,0.71002,1.01448,0.854,0.79365,0.84585,0.49282,1.43748,0.71838,1.06219,0.000614,0.000614,0.000614
37,27636.3,1.43661,0.71007,1.02316,0.84623,0.79198,0.84229,0.48809,1.43292,0.72864,1.06062,0.0005744,0.0005744,0.0005744
38,28228.4,1.44015,0.71325,1.01897,0.85375,0.79623,0.84665,0.49386,1.42781,0.71431,1.05625,0.0005348,0.0005348,0.0005348
39,28931.9,1.45178,0.72135,1.02224,0.85248,0.7953,0.84491,0.49258,1.43728,0.71793,1.06321,0.0004952,0.0004952,0.0004952
40,29691.1,1.4302,0.70854,1.01762,0.85573,0.80213,0.8502,0.49601,1.42523,0.70446,1.05385,0.0004556,0.0004556,0.0004556
41,30379,1.41534,0.7069,1.03326,0.85457,0.78806,0.84516,0.49507,1.42677,0.72276,1.05263,0.000416,0.000416,0.000416
42,31024.3,1.41956,0.69941,1.03003,0.85902,0.79991,0.85224,0.4973,1.42626,0.71193,1.05421,0.0003764,0.0003764,0.0003764
43,31645,1.40908,0.6953,1.0271,0.859,0.80227,0.85067,0.4996,1.42265,0.70282,1.05484,0.0003368,0.0003368,0.0003368
44,32290.4,1.40764,0.69331,1.02341,0.85659,0.79719,0.84805,0.4971,1.4211,0.71098,1.05301,0.0002972,0.0002972,0.0002972
45,32912.4,1.41628,0.6996,1.02598,0.86272,0.80312,0.85323,0.50141,1.41839,0.69802,1.05208,0.0002576,0.0002576,0.0002576
46,33535.9,1.40187,0.685,1.02767,0.86002,0.80569,0.85844,0.50282,1.41838,0.69556,1.05378,0.000218,0.000218,0.000218
47,34163.3,1.41368,0.69188,1.02957,0.86328,0.80298,0.85347,0.50271,1.41927,0.69068,1.0526,0.0001784,0.0001784,0.0001784
48,34780.5,1.38924,0.67481,1.02078,0.86781,0.80422,0.85976,0.50546,1.41421,0.69049,1.05033,0.0001388,0.0001388,0.0001388
49,35396.3,1.38833,0.66935,1.02209,0.86599,0.80454,0.85576,0.50492,1.41862,0.68608,1.05184,9.92e-05,9.92e-05,9.92e-05
50,36034.8,1.4113,0.6945,1.02237,0.86923,0.80121,0.85451,0.50617,1.41319,0.68717,1.04895,5.96e-05,5.96e-05,5.96e-05
